product_id,category_id,product_color,product_list_price,product_modified_date,product_name,product_sell_end_date,product_sell_start_date,product_sku,product_std_cost,product_weight,standard_cost
a298fcde-7aec-45f9-a0d4-5186fb6a75c9,8b9c22e9-c577-4c09-8a6d-ba7ea3640fe1,Silver,264.05,2008-03-11T10:01:36Z,"LL Mountain Frame - Silver, 40",,2007-07-01T00:00:00Z,FR-M21S-40,144.5938,1306.34,144.5938
202dfdce-e43d-476c-bdc6-f7ae607ab0e4,40837bab-1194-4e85-9928-772acdf2f423,Red,594.83,2008-03-11T10:01:36Z,"ML Road Frame - Red, 44",2006-06-30T00:00:00Z,2005-07-01T00:00:00Z,FR-R72R-44,352.1394,1006.97,352.1394
62f718fb-90c2-4ed7-9602-ccd3a51ae3aa,39e85c97-bad9-46a2-9e3a-b61ac8622515,Blue,333.42,2008-03-11T10:01:36Z,"LL Touring Frame - Blue, 58",,2007-07-01T00:00:00Z,FR-T67U-58,199.8519,1433.34,199.8519
8a85eb7f-ee15-49a5-8128-96cae94df082,39e85c97-bad9-46a2-9e3a-b61ac8622515,Blue,1003.91,2008-03-11T10:01:36Z,"HL Touring Frame - Blue, 54",,2007-07-01T00:00:00Z,FR-T98U-54,601.7437,1378.91,601.7437
d5852577-4013-4ed9-a585-9fdfe4c97b30,40837bab-1194-4e85-9928-772acdf2f423,Yellow,594.83,2008-03-11T10:01:36Z,"ML Road Frame-W - Yellow, 40",,2006-07-01T00:00:00Z,FR-R72Y-40,360.9428,1006.97,360.9428
f48fe091-c4dd-4aca-8619-2f5ea55d5a45,252ac58d-8eca-41e6-bc69-93f73a957ddf,Blue,1214.85,2008-03-11T10:01:36Z,"Touring-2000 Blue, 50",,2007-07-01T00:00:00Z,BK-T44U-50,755.1508,12437.44,755.1508
8b032c92-2299-43b8-afaa-9fac9317a2ef,40837bab-1194-4e85-9928-772acdf2f423,Red,337.22,2008-03-11T10:01:36Z,"LL Road Frame - Red, 60",2007-06-30T00:00:00Z,2005-07-01T00:00:00Z,FR-R38R-60,187.1571,1124.9,187.1571
3c7cfd7a-57f7-45bc-8804-1a64ab73cc72,8b9c22e9-c577-4c09-8a6d-ba7ea3640fe1,Silver,1364.5,2008-03-11T10:01:36Z,"HL Mountain Frame - Silver, 48",2006-06-30T00:00:00Z,2005-07-01T00:00:00Z,FR-M94S-52,706.811,1270.05,706.811
f80a1986-84d2-44d2-9272-6bc314d96869,0c91f0d3-4bd0-4f84-94e0-b59f949e6e8e,White,8.99,2008-03-11T10:01:36Z,"Racing Socks, L",,2007-07-01T00:00:00Z,SO-R809-L,3.3623,,3.3623
bb15cc0e-c791-48af-8cff-1c1698400b3d,7bb4bceb-839d-487a-8dd6-afccf15b0568,Black,2443.35,2008-03-11T10:01:36Z,"Road-250 Black, 44",,2006-07-01T00:00:00Z,BK-R89B-44,1554.9479,6699.52,1554.9479
9707246c-d525-4676-b710-4f64a04ba4c7,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Silver,564.99,2008-03-11T10:01:36Z,"Mountain-500 Silver, 44",,2007-07-01T00:00:00Z,BK-M18S-44,308.2179,12759.49,308.2179
62e16103-3832-4a54-be7a-90af4b159bf5,cced3dde-5341-4240-92e0-c418d3780a31,,9.99,2008-03-11T10:01:36Z,Mountain Bottle Cage,,2007-07-01T00:00:00Z,BC-M005,3.7363,,3.7363
60747b32-052d-48e8-b110-8f5fde0315de,d5661d7b-a6fd-4cf8-9b1f-7acda951af20,Black,59.99,2008-03-11T10:01:36Z,"Men's Sports Shorts, M",2007-06-30T00:00:00Z,2006-07-01T00:00:00Z,SH-M897-M,24.7459,,24.7459
35779fc1-b60b-42fa-82e2-6a7563320882,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Black,539.99,2008-03-11T10:01:36Z,"Mountain-500 Black, 42",,2007-07-01T00:00:00Z,BK-M18B-42,294.5797,12596.19,294.5797
c490f2d6-d9fb-4ee0-b465-a5a6c1fcc851,7bb4bceb-839d-487a-8dd6-afccf15b0568,Black,2443.35,2008-03-11T10:01:36Z,"Road-250 Black, 58",,2006-07-01T00:00:00Z,BK-R89B-58,1554.9479,7112.29,1554.9479
1421cee4-0865-4d82-8a9d-a06dce98fe38,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Black,3374.99,2008-03-11T10:01:36Z,"Mountain-100 Black, 48",2006-06-30T00:00:00Z,2005-07-01T00:00:00Z,BK-M82B-48,1898.0944,9715.9,1898.0944
78de5dc9-d796-4bfd-854d-7701bf4f3a06,3c497617-f094-4215-8bde-947b82499938,,35,2008-03-11T10:01:36Z,HL Mountain Tire,,2007-07-01T00:00:00Z,TI-M823,13.09,,13.09
4cc5fcba-a9f8-4956-9133-a6172f0d300c,40837bab-1194-4e85-9928-772acdf2f423,Red,594.83,2008-03-11T10:01:36Z,"ML Road Frame - Red, 52",2006-06-30T00:00:00Z,2005-07-01T00:00:00Z,FR-R72R-52,352.1394,1043.26,352.1394
cf8f5976-57af-4aa4-8e56-e526d783f5d3,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Silver,2319.99,2008-03-11T10:01:36Z,"Mountain-200 Silver, 38",,2006-07-01T00:00:00Z,BK-M68S-38,1265.6195,10591.33,1265.6195
5df848c9-61bd-4695-88bc-09f221d140a4,8b9c22e9-c577-4c09-8a6d-ba7ea3640fe1,Black,249.79,2008-03-11T10:01:36Z,"LL Mountain Frame - Black, 52",,2007-07-01T00:00:00Z,FR-M21B-52,136.785,1378.91,136.785
74c1bdca-2b93-458c-a5ae-b7a27f9d422a,8b9c22e9-c577-4c09-8a6d-ba7ea3640fe1,Silver,264.05,2008-03-11T10:01:36Z,"LL Mountain Frame - Silver, 52",,2007-07-01T00:00:00Z,FR-M21S-52,144.5938,1378.91,144.5938
18821c32-c763-4835-b8e0-d1b7aee0001a,40837bab-1194-4e85-9928-772acdf2f423,Black,1431.5,2008-03-11T10:01:36Z,"HL Road Frame - Black, 58",,2002-06-01T00:00:00Z,FR-R92B-58,1059.31,1016.04,1059.31
147e389a-04b8-4803-b8db-e6e760036b9f,39e85c97-bad9-46a2-9e3a-b61ac8622515,Blue,1003.91,2008-03-11T10:01:36Z,"HL Touring Frame - Blue, 50",,2007-07-01T00:00:00Z,FR-T98U-50,601.7437,1360.77,601.7437
76ea99e1-48d7-40f6-9fe3-28aef464f83a,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Black,539.99,2008-03-11T10:01:36Z,"Mountain-500 Black, 44",,2007-07-01T00:00:00Z,BK-M18B-44,294.5797,12759.49,294.5797
439388c5-2a97-4462-bf7c-323e1bbac88f,40837bab-1194-4e85-9928-772acdf2f423,Red,1431.5,2008-03-11T10:01:36Z,"HL Road Frame - Red, 52",,2005-07-01T00:00:00Z,FR-R92R-52,868.6342,997.9,868.6342
554752a3-898f-4bf4-9a5e-3ed6d54280f6,926179cd-73c2-4964-86e6-96326a05c578,,53.99,2008-03-11T10:01:36Z,LL Bottom Bracket,,2007-07-01T00:00:00Z,BB-7421,23.9716,223,23.9716
e2b9387e-3397-494f-a66b-f023b2ccf578,586bdab0-ccf5-4104-8251-2e231bda2886,Black,37.99,2008-03-11T10:01:36Z,"Full-Finger Gloves, L",2007-06-30T00:00:00Z,2006-07-01T00:00:00Z,GL-F110-L,15.6709,,15.6709
61821b3d-0741-4af5-8744-ff14f3c79845,1116cf65-12a9-49e5-bf74-edbcafb2ad1d,Silver,769.49,2008-03-11T10:01:36Z,"Mountain-400-W Silver, 40",,2007-07-01T00:00:00Z,BK-M38S-40,419.7784,12142.6,419.7784
7b997c43-7a27-47d1-a97e-aa4b8e6dcffc,c94fd725-f7b3-43ec-b28d-346c364e147e,,27.12,2008-03-11T10:01:36Z,LL Road Seat/Saddle,,2007-07-01T00:00:00Z,SE-R581,12.0413,,12.0413
8db21dfd-8e64-465d-a89a-db2bd769591c,c623f69c-f793-4c42-b435-3258c9ba8c33,Black,209.025,2008-03-11T10:01:36Z,ML Mountain Front Wheel,2007-06-30T00:00:00Z,2006-07-01T00:00:00Z,FW-M762,92.8071,,92.8071
4930c52f-b0db-418c-a069-34c69d9d5048,40837bab-1194-4e85-9928-772acdf2f423,Black,1431.5,2008-03-11T10:01:36Z,"HL Road Frame - Black, 52",,2006-07-01T00:00:00Z,FR-R92B-52,868.6342,997.9,868.6342
f9799ecc-02c8-41d5-8561-c220ba2f24ba,586bdab0-ccf5-4104-8251-2e231bda2886,Black,37.99,2008-03-11T10:01:36Z,"Full-Finger Gloves, M",2007-06-30T00:00:00Z,2006-07-01T00:00:00Z,GL-F110-M,15.6709,,15.6709
a9790be8-43a4-4ddb-aa0b-3f1252dc7fd8,c623f69c-f793-4c42-b435-3258c9ba8c33,Black,218.01,2008-03-11T10:01:36Z,Touring Front Wheel,2007-06-30T00:00:00Z,2006-07-01T00:00:00Z,FW-T905,96.7964,,96.7964
